model,layer,projection,alpha,aggregate,n_matrices,gini_base_mean,gini_alpha_mean,delta_gini_mean,delta_gini_max,top_sv_rel_mean,top_sv_rel_max,top_sv_abs_delta_mean,top_sv_abs_delta_max,top_to_geomean_base_mean,top_to_geomean_base_max
llama31_8b_instruct,2,down_proj,0.0,dense,1,0.1913694590330124,0.1913694590330124,0.0,0.0,1.0,1.0,0.0,0.0,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,down_proj,0.05,dense,1,0.1913694590330124,0.20052587985992432,0.009156420826911926,0.009156420826911926,1.071705760530289,1.071705760530289,0.3646564483642578,0.3646564483642578,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,down_proj,0.1,dense,1,0.1913694590330124,0.20963461697101593,0.01826515793800354,0.01826515793800354,1.1485532124647666,1.1485532124647666,0.7554607391357422,0.7554607391357422,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,down_proj,0.15,dense,1,0.1913694590330124,0.2186947613954544,0.027325302362442017,0.027325302362442017,1.2309111331083538,1.2309111331083538,1.174288272857666,1.174288272857666,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,down_proj,0.2,dense,1,0.1913694590330124,0.2277054488658905,0.03633598983287811,0.03633598983287811,1.319174553934642,1.319174553934642,1.623147964477539,1.623147964477539,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,up_proj,-0.2,dense,1,0.18262755870819092,0.14834977686405182,-0.0342777818441391,-0.0342777818441391,0.825813320524907,0.825813320524907,-0.5803365707397461,-0.5803365707397461,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,-0.15,dense,1,0.18262755870819092,0.1570257544517517,-0.02560180425643921,-0.02560180425643921,0.8662861684309024,0.8662861684309024,-0.4454934597015381,-0.4454934597015381,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,-0.1,dense,1,0.18262755870819092,0.16563086211681366,-0.01699669659137726,-0.01699669659137726,0.908742752860392,0.908742752860392,-0.30404114723205566,-0.30404114723205566,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,-0.05,dense,1,0.18262755870819092,0.17416484653949738,-0.008462712168693542,-0.008462712168693542,0.953279895555603,0.953279895555603,-0.15565705299377441,-0.15565705299377441,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,0.0,dense,1,0.18262755870819092,0.18262755870819092,0.0,0.0,1.0,1.0,0.0,0.0,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,0.05,dense,1,0.18262755870819092,0.191018745303154,0.008391186594963074,0.008391186594963074,1.049009763324153,1.049009763324153,0.163285493850708,0.163285493850708,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,0.1,dense,1,0.18262755870819092,0.19933828711509705,0.016710728406906128,0.016710728406906128,1.100421392839084,1.100421392839084,0.33457326889038086,0.33457326889038086,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,0.15,dense,1,0.18262755870819092,0.2075858861207962,0.024958327412605286,0.024958327412605286,1.154352820718622,1.154352820718622,0.5142562389373779,0.5142562389373779,2.6036974422281056,2.6036974422281056
llama31_8b_instruct,2,up_proj,0.2,dense,1,0.18262755870819092,0.2157614678144455,0.03313390910625458,0.03313390910625458,1.2109272746346929,1.2109272746346929,0.7027449607849121,0.7027449607849121,2.6036974422281056,2.6036974422281056
